物件名,住所,最寄り駅,築年数,価格,間取り,面積,バルコニーの広さ,都県,市区,築年月数,価格(万円),不動産単価（万／坪）,路線,駅名,緯度,経度
ワールドシティタワーズ　アクアタワー西向き,東京都港区港南４,ＪＲ山手線「品川」徒歩15分,2005年10月,115000000.0,1LDK,56.09,9.51,東京,港,242,11500.0,677,ＪＲ山手線,品川,35.6273113,139.7485979
シティタワーズ豊洲ザ・ツイン,東京都江東区豊洲３,東京メトロ有楽町線「豊洲」徒歩5分,2009年2月,125000000.0,2LDK,55.37,5.68,東京,江東,202,12500.0,745,東京メトロ有楽町線,豊洲,35.6585681,139.7965242
ベイサイドタワー晴海,東京都中央区晴海３,都営大江戸線「勝どき」徒歩7分,2015年9月,145000000.0,3LDK,72.4,11.28,東京,中央,123,14500.0,661,都営大江戸線,勝どき,35.6548467,139.7786272
ザ・パークハウス青砥,東京都葛飾区青戸７-32-3,京成本線「青砥」徒歩13分,2013年6月,57800000.0,3LDK,69.79,9.3,東京,葛飾,150,5780.0,273,京成本線,青砥,35.7542915,139.857165
清新北ハイツ５号棟,東京都江戸川区清新町１-4-5,東京メトロ東西線「西葛西」徒歩10分,1983年3月,58800000.0,3LDK,74.48,19.18,東京,江戸川,513,5880.0,261,東京メトロ東西線,西葛西,35.6624792,139.8542792
プラウドタワー亀戸クロス　ゲートタワー,東京都江東区亀戸６,ＪＲ総武線「亀戸」徒歩2分,2022年1月,58800000.0,1RM,29.88,6.4,東京,江東,47,5880.0,649,ＪＲ総武線,亀戸,35.6957973,139.8278569
ヴェレーナ王子,東京都北区豊島５,東京メトロ南北線「王子神谷」徒歩15分,2012年3月,61800000.0,3LDK,80.27,12.8,東京,北,165,6180.0,254,東京メトロ南北線,王子神谷,35.7642385,139.7496788
ライオンズタワー大島,東京都江東区大島８-28-5,都営新宿線「大島」徒歩10分,2004年7月,61800000.0,1LDK,65.95,11.74,東京,江東,257,6180.0,309,都営新宿線,大島,35.6869743,139.8415346
ヴェレーナ王子,東京都北区豊島５,東京メトロ南北線「王子神谷」徒歩15分,2012年3月,62800000.0,3LDK,81.62,12.3,東京,北,165,6280.0,254,東京メトロ南北線,王子神谷,35.7642385,139.7496788
ザ・パークハウス青砥,東京都葛飾区青戸７-32-3,京成本線「青砥」徒歩13分,2013年6月,62800000.0,3LDK,72.16,9.6,東京,葛飾,150,6280.0,287,京成本線,青砥,35.7542915,139.857165
ザ・パークハウス青砥,東京都葛飾区青戸７,京成本線「青砥」徒歩13分,2013年6月,62800000.0,3LDK,72.16,9.6,東京,葛飾,150,6280.0,287,京成本線,青砥,35.7552758,139.8560065
晴海テラス,東京都中央区晴海５,都営大江戸線「勝どき」徒歩10分,2009年3月,66800000.0,1LDK,40.0,7.6,東京,中央,201,6680.0,551,都営大江戸線,勝どき,35.6490356,139.7741538
サンウッド品川天王洲タワー,東京都品川区東品川２,りんかい線「天王洲アイル」徒歩4分,2005年2月,67800000.0,1LDK,46.18,8.7,東京,品川,250,6780.0,484,りんかい線,天王洲アイル,35.6214449,139.751153
ミッドガーデンシティザ・タワー＆ヴィラ,東京都荒川区南千住６,東京メトロ日比谷線「南千住」徒歩10分,2011年1月,69800000.0,3LDK,73.5,0.0,東京,荒川,179,6980.0,313,東京メトロ日比谷線,南千住,35.73758170000001,139.7946064
ザ・ステージオガーデンフロントタワー,東京都足立区西新井栄町１,東武伊勢崎線「西新井」徒歩5分,2006年12月,74800000.0,3LDK,73.02,11.97,東京,足立,228,7480.0,338,東武伊勢崎線,西新井,35.7748516,139.7888534
ブリリア有明スカイタワー,東京都江東区有明１,新交通ゆりかもめ「有明テニスの森」徒歩6分,2010年12月,78500000.0,1DK,39.48,8.19,東京,江東,180,7850.0,656,新交通ゆりかもめ,有明テニスの森,35.6403728,139.7869359
シティタワー池袋,東京都豊島区東池袋２,ＪＲ山手線「池袋」徒歩12分,2003年8月,78800000.0,1LDK,44.6,15.84,東京,豊島,268,7880.0,583,ＪＲ山手線,池袋,35.7314981,139.7236915
アイタウン・レピア,東京都新宿区西新宿６-21-1,東京メトロ丸ノ内線「西新宿」徒歩11分,1994年10月,79800000.0,1LDK,43.21,8.7,東京,新宿,374,7980.0,609,東京メトロ丸ノ内線,西新宿,35.6929304,139.6904993
西早稲田シティタワー,東京都新宿区西早稲田１,東京メトロ東西線「早稲田」徒歩11分,1999年3月,79900000.0,1LDK,50.01,7.57,東京,新宿,321,7990.0,527,東京メトロ東西線,早稲田,35.710463,139.7198607
シティタワー大泉学園,東京都練馬区東大泉１,西武池袋線「大泉学園」徒歩2分,2010年1月,82500000.0,2LDK,57.15,7.32,東京,練馬,191,8250.0,476,西武池袋線,大泉学園,35.7491256,139.5910344
